match_id,player_name,date,competition,opponent,started,position,minutes_played,goals,assists,shots,shots_on_target,xg,xag,passes_completed,passes_attempted,key_passes,progressive_passes,tackles,interceptions,blocks,yellow_cards,red_cards,saves,goals_against_gk,clean_sheet
ARG_20221209_Netherland,Nicolás Otamendi,2022-12-09,FIFA World Cup,Netherlands,True,Center Back,90,0,0,0,0,0.0,0.0,80,87,0,0,2,1,0,1,0,,,
ARG_20221209_Netherland,Lionel Messi,2022-12-09,FIFA World Cup,Netherlands,True,Right Center Forward,90,2,1,7,3,1.792,0.0,40,48,2,0,0,0,1,1,0,,,
ARG_20221209_Netherland,Nicolás Tagliafico,2022-12-09,FIFA World Cup,Netherlands,False,,13,0,0,0,0,0.0,0.0,10,11,0,0,1,0,1,0,0,,,
ARG_20221209_Netherland,Germán Pezzella,2022-12-09,FIFA World Cup,Netherlands,False,,13,0,0,1,0,0.045,0.0,28,30,0,0,0,0,0,1,0,,,
ARG_20221209_Netherland,Rodrigo De Paul,2022-12-09,FIFA World Cup,Netherlands,True,Right Center Midfield,65,0,0,2,1,0.074,0.0,41,53,1,0,1,1,0,0,0,,,
ARG_20221209_Netherland,Lautaro Martínez,2022-12-09,FIFA World Cup,Netherlands,False,,10,1,0,3,2,1.09,0.0,8,12,0,0,0,1,1,0,0,,,
ARG_20221209_Netherland,Leandro Paredes,2022-12-09,FIFA World Cup,Netherlands,False,,25,1,0,1,1,0.783,0.0,44,49,1,0,3,0,0,1,0,,,
ARG_20221209_Netherland,Marcos Acuña,2022-12-09,FIFA World Cup,Netherlands,True,Left Wing Back,77,0,0,0,0,0.0,0.0,18,26,0,0,4,1,1,1,0,,,
ARG_20221209_Netherland,Cristian Romero,2022-12-09,FIFA World Cup,Netherlands,True,Right Center Back,77,0,0,0,0,0.0,0.0,44,48,0,0,2,1,1,1,0,,,
ARG_20221209_Netherland,Guido Rodríguez,2022-12-09,FIFA World Cup,Netherlands,False,,30,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,,
ARG_20221209_Netherland,Lisandro Martínez,2022-12-09,FIFA World Cup,Netherlands,True,Left Center Back,111,0,0,0,0,0.0,0.0,29,38,0,0,2,2,1,1,0,,,
