player_name,league,club,season,date,opponent,is_home,result,minutes,goals,shots,xg,xag,assists,key_passes,yellow_cards,red_cards
Alexis Mac Allister,ENG-Premier League,Liverpool,2024-25,2024-09-28,,,,90,0,0,0.0,0.0478782132267952,0,1,0,0
Alexis Mac Allister,ENG-Premier League,Liverpool,2024-25,2024-10-05,,,,48,0,0,0.0,0.026425983756780624,0,1,1,0
Alexis Mac Allister,ENG-Premier League,Liverpool,2024-25,2024-10-20,,,,1,0,0,0.0,0.0,0,0,1,0
Alexis Mac Allister,ENG-Premier League,Liverpool,2024-25,2024-10-27,,,,67,0,1,0.0751345083117485,0.06272826343774796,0,1,1,0
Alexis Mac Allister,ENG-Premier League,Liverpool,2024-25,2024-11-02,,,,68,0,1,0.06371966749429703,0.0,0,0,1,0
Alexis Mac Allister,ENG-Premier League,Liverpool,2024-25,2024-11-09,,,,90,0,0,0.0,0.01900925301015377,0,1,0,0
Alexis Mac Allister,ENG-Premier League,Liverpool,2024-25,2024-11-24,,,,22,0,1,0.016700875014066696,0.040218155831098557,0,1,0,0
Alexis Mac Allister,ENG-Premier League,Liverpool,2024-25,2024-12-01,,,,90,0,0,0.0,0.4337329864501953,0,2,0,0
Alexis Mac Allister,ENG-Premier League,Liverpool,2024-25,2024-12-04,,,,90,0,3,0.20671451091766357,0.14256013929843903,0,2,1,0
Alexis Mac Allister,ENG-Premier League,Liverpool,2024-25,2024-12-22,,,,70,1,1,0.8932812809944153,0.0,0,0,0,0
Alexis Mac Allister,ENG-Premier League,Liverpool,2024-25,2024-12-26,,,,90,0,1,0.02161373570561409,0.6392351388931274,2,2,0,0
Alexis Mac Allister,ENG-Premier League,Liverpool,2024-25,2024-12-29,,,,90,0,0,0.0,0.4404260516166687,0,3,0,0
Alexis Mac Allister,ENG-Premier League,Liverpool,2024-25,2025-01-05,,,,90,0,4,0.4493187665939331,0.42932623624801636,1,2,0,0
Alexis Mac Allister,ENG-Premier League,Liverpool,2024-25,2025-01-14,,,,90,0,2,0.03639454394578934,0.0801529809832573,0,2,0,0
Alexis Mac Allister,ENG-Premier League,Liverpool,2024-25,2025-01-18,,,,81,0,4,0.2519843578338623,0.08855479210615158,0,3,0,0
Alexis Mac Allister,ENG-Premier League,Liverpool,2024-25,2025-01-25,,,,87,0,1,0.03189384564757347,0.19033880531787872,0,3,0,0
Alexis Mac Allister,ENG-Premier League,Liverpool,2024-25,2025-02-01,,,,66,0,2,0.15089678764343262,0.022725578397512436,0,1,1,0
Alexis Mac Allister,ENG-Premier League,Liverpool,2024-25,2025-02-12,,,,90,1,1,0.3291725218296051,0.0,0,0,0,0
Alexis Mac Allister,ENG-Premier League,Liverpool,2024-25,2025-02-16,,,,90,0,0,0.0,0.07486651837825775,0,1,0,0
Alexis Mac Allister,ENG-Premier League,Liverpool,2024-25,2025-02-19,,,,84,0,1,0.04240480437874794,0.0,0,0,0,0
Alexis Mac Allister,ENG-Premier League,Liverpool,2024-25,2025-02-23,,,,90,0,0,0.0,0.07053597271442413,0,1,0,0
Alexis Mac Allister,ENG-Premier League,Liverpool,2024-25,2025-02-26,,,,87,1,2,0.1736699491739273,0.0,0,0,0,0
Alexis Mac Allister,ENG-Premier League,Liverpool,2024-25,2025-03-08,,,,38,0,0,0.0,0.0,0,0,0,0
Alexis Mac Allister,ENG-Premier League,Liverpool,2024-25,2025-04-02,,,,90,0,1,0.01878402940928936,0.1718520075082779,0,1,0,0
Alexis Mac Allister,ENG-Premier League,Liverpool,2024-25,2025-04-06,,,,90,1,1,0.01857033558189869,0.05349123850464821,0,2,0,0
Alexis Mac Allister,ENG-Premier League,Liverpool,2024-25,2025-04-13,,,,90,0,4,0.43485793471336365,0.1865309327840805,1,2,0,0
Alexis Mac Allister,ENG-Premier League,Liverpool,2024-25,2025-04-20,,,,90,0,0,0.0,0.21088016033172607,0,3,0,0
Alexis Mac Allister,ENG-Premier League,Liverpool,2024-25,2025-04-27,,,,87,1,3,0.1528029441833496,0.05966876074671745,0,2,0,0
Alexis Mac Allister,ENG-Premier League,Liverpool,2024-25,2025-05-04,,,,20,0,0,0.0,0.34726256132125854,1,1,0,0
Alexis Mac Allister,ENG-Premier League,Liverpool,2024-25,2025-05-11,,,,21,0,0,0.0,0.07919109612703323,0,1,0,0
Cristian Romero,ENG-Premier League,Tottenham Hotspur,2024-25,2024-08-19,,,,90,0,1,0.10307934880256653,0.0,0,0,0,0
Cristian Romero,ENG-Premier League,Tottenham Hotspur,2024-25,2024-08-24,,,,90,1,3,0.8019993305206299,0.2995178699493408,0,1,0,0
Cristian Romero,ENG-Premier League,Tottenham Hotspur,2024-25,2024-09-01,,,,90,0,0,0.0,0.0,0,0,0,0
Cristian Romero,ENG-Premier League,Tottenham Hotspur,2024-25,2024-09-15,,,,90,0,1,0.04778313264250755,0.01844249852001667,0,1,0,0
Cristian Romero,ENG-Premier League,Tottenham Hotspur,2024-25,2024-09-21,,,,90,0,1,0.028312718495726585,0.0,0,0,0,0
Cristian Romero,ENG-Premier League,Tottenham Hotspur,2024-25,2024-09-29,,,,90,0,1,0.06655843555927277,0.0,0,0,0,0
Cristian Romero,ENG-Premier League,Tottenham Hotspur,2024-25,2024-10-06,,,,90,0,2,0.10648621618747711,0.06692080944776535,0,1,0,0
Cristian Romero,ENG-Premier League,Tottenham Hotspur,2024-25,2024-10-19,,,,90,0,0,0.0,0.0,0,0,0,0
Cristian Romero,ENG-Premier League,Tottenham Hotspur,2024-25,2024-10-27,,,,90,0,1,0.015457166358828545,0.06818054616451263,0,1,0,0
Cristian Romero,ENG-Premier League,Tottenham Hotspur,2024-25,2024-11-03,,,,62,0,0,0.0,0.01912618987262249,0,1,1,0
Cristian Romero,ENG-Premier League,Tottenham Hotspur,2024-25,2024-11-10,,,,90,0,1,0.033305246382951736,0.06579885631799698,0,1,0,0
Cristian Romero,ENG-Premier League,Tottenham Hotspur,2024-25,2024-12-08,,,,14,0,0,0.0,0.0,0,0,0,0
Cristian Romero,ENG-Premier League,Tottenham Hotspur,2024-25,2025-03-09,,,,62,0,1,0.05347302183508873,0.0,0,0,0,0
Cristian Romero,ENG-Premier League,Tottenham Hotspur,2024-25,2025-03-16,,,,69,0,0,0.0,0.0,0,0,0,0
Cristian Romero,ENG-Premier League,Tottenham Hotspur,2024-25,2025-04-03,,,,90,0,0,0.0,0.0,0,0,1,0
Cristian Romero,ENG-Premier League,Tottenham Hotspur,2024-25,2025-04-06,,,,90,0,2,0.5375655889511108,0.0,0,0,0,0
Cristian Romero,ENG-Premier League,Tottenham Hotspur,2024-25,2025-04-13,,,,90,0,1,0.0532112754881382,0.08731614798307419,0,1,0,0
Cristian Romero,ENG-Premier League,Tottenham Hotspur,2024-25,2025-04-21,,,,49,0,1,0.05791254714131355,0.0,0,0,1,0
Emiliano Martínez,ENG-Premier League,Aston Villa,2024-25,2024-10-19,,,,90,0,0,0.0,0.0,0,0,0,0
Emiliano Martínez,ENG-Premier League,Aston Villa,2024-25,2024-10-26,,,,90,0,0,0.0,0.0,0,0,0,0
Emiliano Martínez,ENG-Premier League,Aston Villa,2024-25,2024-11-03,,,,90,0,0,0.0,0.0,0,0,0,0
Emiliano Martínez,ENG-Premier League,Aston Villa,2024-25,2024-11-09,,,,90,0,0,0.0,0.0,0,0,0,0
Emiliano Martínez,ENG-Premier League,Aston Villa,2024-25,2024-11-23,,,,90,0,0,0.0,0.0,0,0,0,0
Emiliano Martínez,ENG-Premier League,Aston Villa,2024-25,2024-12-01,,,,51,0,0,0.0,0.0,0,0,0,0
Emiliano Martínez,ENG-Premier League,Aston Villa,2024-25,2024-12-04,,,,90,0,0,0.0,0.0,0,0,0,0
Emiliano Martínez,ENG-Premier League,Aston Villa,2024-25,2024-12-07,,,,90,0,0,0.0,0.0,0,0,0,0
Emiliano Martínez,ENG-Premier League,Aston Villa,2024-25,2024-12-14,,,,90,0,0,0.0,0.0,0,0,0,0
Emiliano Martínez,ENG-Premier League,Aston Villa,2024-25,2024-12-21,,,,90,0,0,0.0,0.0,0,0,1,0
Emiliano Martínez,ENG-Premier League,Aston Villa,2024-25,2024-12-26,,,,90,0,0,0.0,0.0,0,0,0,0
Emiliano Martínez,ENG-Premier League,Aston Villa,2024-25,2024-12-30,,,,90,0,0,0.0,0.0,0,0,0,0
Emiliano Martínez,ENG-Premier League,Aston Villa,2024-25,2025-01-04,,,,90,0,0,0.0,0.0,0,0,0,0
Emiliano Martínez,ENG-Premier League,Aston Villa,2024-25,2025-01-15,,,,90,0,0,0.0,0.0,0,0,0,0
Emiliano Martínez,ENG-Premier League,Aston Villa,2024-25,2025-01-18,,,,90,0,0,0.0,0.0,0,0,0,0
Emiliano Martínez,ENG-Premier League,Aston Villa,2024-25,2025-01-26,,,,90,0,0,0.0,0.0,0,0,0,0
Emiliano Martínez,ENG-Premier League,Aston Villa,2024-25,2025-02-01,,,,90,0,0,0.0,0.0,0,0,0,0
Emiliano Martínez,ENG-Premier League,Aston Villa,2024-25,2025-02-15,,,,90,0,0,0.0,0.0,0,0,0,0
Emiliano Martínez,ENG-Premier League,Aston Villa,2024-25,2025-02-19,,,,90,0,0,0.0,0.0,0,0,0,0
Emiliano Martínez,ENG-Premier League,Aston Villa,2024-25,2025-02-22,,,,90,0,0,0.0,0.0,0,0,0,0
Emiliano Martínez,ENG-Premier League,Aston Villa,2024-25,2025-02-25,,,,50,0,0,0.0,0.0,0,0,0,0
Emiliano Martínez,ENG-Premier League,Aston Villa,2024-25,2025-04-02,,,,90,0,0,0.0,0.0,0,0,1,0
Emiliano Martínez,ENG-Premier League,Aston Villa,2024-25,2025-04-05,,,,90,0,0,0.0,0.24867460131645203,0,1,1,0
Emiliano Martínez,ENG-Premier League,Aston Villa,2024-25,2025-04-12,,,,90,0,0,0.0,0.0,0,0,0,0
Emiliano Martínez,ENG-Premier League,Aston Villa,2024-25,2025-04-19,,,,90,0,0,0.0,0.03334943950176239,0,1,0,0
Emiliano Martínez,ENG-Premier League,Aston Villa,2024-25,2025-04-22,,,,90,0,0,0.0,0.0,0,0,0,0
Emiliano Martínez,ENG-Premier League,Aston Villa,2024-25,2025-05-03,,,,90,0,0,0.0,0.0,0,0,0,0
Emiliano Martínez,ENG-Premier League,Aston Villa,2024-25,2025-05-10,,,,90,0,0,0.0,0.0,0,0,1,0
Emiliano Martínez,ENG-Premier League,Aston Villa,2024-25,2025-05-16,,,,90,0,0,0.0,0.0,0,0,0,0
Emiliano Martínez,ENG-Premier League,Aston Villa,2024-25,2025-05-25,,,,45,0,0,0.0,0.0,0,0,0,1
Enzo Fernández,ENG-Premier League,Chelsea,2024-25,2024-10-20,,,,29,0,0,0.0,0.016640564426779747,0,1,0,0
Enzo Fernández,ENG-Premier League,Chelsea,2024-25,2024-10-27,,,,11,0,0,0.0,0.1277915984392166,0,1,0,0
Enzo Fernández,ENG-Premier League,Chelsea,2024-25,2024-11-03,,,,18,0,1,0.05626540258526802,0.0,0,0,0,0
Enzo Fernández,ENG-Premier League,Chelsea,2024-25,2024-11-10,,,,19,0,0,0.0,0.04890897125005722,1,2,0,0
