event_id,event_type,period,minute,second,player_name,x,y,end_x,end_y,outcome,xg,statsbomb_match_id,match_fbref_id,competition,season,date
acacad81-2cdc-491f-b55f-8c70c97e10f2,Pass,1,0,29,Enzo Fernandez,40.5,13.8,30.7,45.4,,,3869321,ARG_20221209_Netherland,FIFA World Cup,2022,2022-12-09
6d84c33b-7aa3-4c5d-8306-775b6b5bca4e,Pass,1,0,30,Nicolás Hernán Otamendi,30.7,45.4,40.9,65.6,,,3869321,ARG_20221209_Netherland,FIFA World Cup,2022,2022-12-09
79b83473-03d6-435c-bc13-edfae71d4ae9,Pass,1,0,34,Cristian Gabriel Romero,52.0,71.2,58.8,76.6,,,3869321,ARG_20221209_Netherland,FIFA World Cup,2022,2022-12-09
cafbd4f8-87c8-40a3-a2be-7e75ebd940dc,Pass,1,0,37,Nahuel Molina Lucero,51.5,72.6,50.1,67.4,,,3869321,ARG_20221209_Netherland,FIFA World Cup,2022,2022-12-09
25fac021-6b67-479a-b9ed-72f7625fb027,Pass,1,0,38,Enzo Fernandez,50.2,68.4,52.8,73.3,Incomplete,,3869321,ARG_20221209_Netherland,FIFA World Cup,2022,2022-12-09
014da70e-2286-42ca-9d4a-e5630159252e,Pass,1,1,15,Cristian Gabriel Romero,56.4,72.2,39.3,54.6,,,3869321,ARG_20221209_Netherland,FIFA World Cup,2022,2022-12-09
ebd4508f-c0ec-4c8c-82c7-734ac2f59338,Pass,1,1,20,Nicolás Hernán Otamendi,39.3,54.6,47.4,73.5,,,3869321,ARG_20221209_Netherland,FIFA World Cup,2022,2022-12-09
27803c3a-8f69-435d-879b-80b299ba334f,Pass,1,1,25,Cristian Gabriel Romero,56.7,74.7,63.1,77.1,,,3869321,ARG_20221209_Netherland,FIFA World Cup,2022,2022-12-09
31cd4c5a-2537-4e58-be13-de2a71ae4b79,Pass,1,1,28,Rodrigo Javier De Paul,61.5,70.4,54.6,63.2,,,3869321,ARG_20221209_Netherland,FIFA World Cup,2022,2022-12-09
6db38de8-86aa-4e91-ab65-dd831b7c4d3d,Pass,1,1,30,Enzo Fernandez,54.6,63.2,63.6,39.9,,,3869321,ARG_20221209_Netherland,FIFA World Cup,2022,2022-12-09
370661ea-867a-4569-951b-3739bc6ef473,Pass,1,1,33,Alexis Mac Allister,64.9,28.7,71.2,7.3,,,3869321,ARG_20221209_Netherland,FIFA World Cup,2022,2022-12-09
72ad4aee-0273-4f7a-b3bb-9e50f5e597f5,Pass,1,1,38,Lisandro Martínez,51.5,18.9,53.9,34.1,,,3869321,ARG_20221209_Netherland,FIFA World Cup,2022,2022-12-09
c419702f-59dc-4778-93d5-ee41ca201a6f,Pass,1,1,40,Enzo Fernandez,48.2,32.4,42.3,40.2,,,3869321,ARG_20221209_Netherland,FIFA World Cup,2022,2022-12-09
