event_id,match_id,player_id,period,minute,second,event_type,event_subtype,x,y,end_x,end_y,outcome,xg,under_pressure,counterpress
5a99bab2-ae95-4180-8a57-362fffa55cdf,ARG_20221209_Netherland,16,1,0,29,Pass,,40.5,13.8,30.7,45.4,,,,
c17f2523-aa57-4069-86ab-433a3666b3ba,ARG_20221209_Netherland,7,1,0,30,Pass,,30.7,45.4,40.9,65.6,,,,
06f54652-f331-49ea-910c-d9b41f151b49,ARG_20221209_Netherland,9,1,0,34,Pass,,52.0,71.2,58.8,76.6,,,,
0a40c4bd-a32e-4d40-b430-4d02d76e0562,ARG_20221209_Netherland,5,1,0,37,Pass,,51.5,72.6,50.1,67.4,,,,
75c6b60d-f2bc-478d-9754-cb20f62372b0,ARG_20221209_Netherland,16,1,0,38,Pass,,50.2,68.4,52.8,73.3,Incomplete,,,
ce03ae9d-f512-4ea2-89d7-ab06fb6962e0,ARG_20221209_Netherland,9,1,1,15,Pass,,56.4,72.2,39.3,54.6,,,,
0f0fc25b-7683-4e65-a7ed-d1c48d05cf2e,ARG_20221209_Netherland,7,1,1,20,Pass,,39.3,54.6,47.4,73.5,,,,
1cf65fc9-0be5-404f-b5a9-6e9d65ef3f3f,ARG_20221209_Netherland,9,1,1,25,Pass,,56.7,74.7,63.1,77.1,,,,
d2cbd458-e822-433e-9a45-64e4b1cd3043,ARG_20221209_Netherland,14,1,1,28,Pass,,61.5,70.4,54.6,63.2,,,,
89fd1cb0-9325-4271-849f-d19a99df5fc1,ARG_20221209_Netherland,16,1,1,30,Pass,,54.6,63.2,63.6,39.9,,,,
9671d2dc-dad2-47b7-bb4f-0bd98737a80f,ARG_20221209_Netherland,17,1,1,33,Pass,,64.9,28.7,71.2,7.3,,,,
f055a5ff-f4f5-4520-99a2-1c9bd72efa4f,ARG_20221209_Netherland,6,1,1,38,Pass,,51.5,18.9,53.9,34.1,,,,
721062ad-906d-4b8a-841b-7369d1464430,ARG_20221209_Netherland,16,1,1,40,Pass,,48.2,32.4,42.3,40.2,,,,
c59cff65-64cf-4a25-83c7-3032c5d17395,ARG_20221209_Netherland,7,1,1,45,Pass,,42.3,40.2,45.0,68.0,,,,
7a807070-a601-4176-925e-07145e186044,ARG_20221209_Netherland,9,1,1,47,Pass,,45.0,68.0,52.5,60.9,,,,
661b4c35-970c-41b5-8062-9cff93d026e0,ARG_20221209_Netherland,20,1,1,52,Pass,,49.8,55.1,44.1,46.7,,,,
e33c47b7-f583-4a21-b921-d554e15e4a67,ARG_20221209_Netherland,16,1,1,53,Pass,,44.1,46.7,37.8,67.4,,,,
79caa68b-0f12-4e37-840b-1a41efae7a25,ARG_20221209_Netherland,9,1,1,57,Pass,,50.5,62.0,62.6,33.8,,,,
df59ab52-5f4f-437f-8b48-5c4b6076c4ca,ARG_20221209_Netherland,17,1,2,2,Pass,,89.3,21.8,108.8,14.8,,,,
f974b5ba-8d6c-4f09-b770-ee988cf307dc,ARG_20221209_Netherland,6,1,2,12,Pass,,56.7,4.3,55.1,24.1,,,,
e4971877-115e-407c-a4f8-eb19ca44c44a,ARG_20221209_Netherland,7,1,2,14,Pass,,45.8,36.1,57.8,72.2,,,,
a011e197-da2c-4a33-9676-22235923cd80,ARG_20221209_Netherland,14,1,2,19,Pass,,57.8,72.2,38.6,49.1,,,,
666dd04a-6769-4ec0-9d18-88b6912dbd4e,ARG_20221209_Netherland,7,1,2,24,Pass,,44.7,48.1,51.5,70.1,,,,
2141577b-591f-4468-aefd-62ab02bb4ca3,ARG_20221209_Netherland,9,1,2,27,Pass,,61.2,74.0,74.1,74.7,,,,
0e349aed-c845-480a-b145-fbdf63a58fee,ARG_20221209_Netherland,20,1,2,29,Pass,,71.0,74.3,57.4,72.5,,,,
1a62804b-510c-48c4-8799-43b822f0e1e5,ARG_20221209_Netherland,9,1,2,32,Pass,,57.4,72.5,72.8,77.0,,,,
67cd3128-b204-4d17-bafe-bffca547144d,ARG_20221209_Netherland,5,1,4,25,Pass,,56.4,71.6,68.0,65.3,,,,
3d2880d5-f957-4a8f-add7-006831584406,ARG_20221209_Netherland,20,1,4,29,Pass,,87.0,60.1,109.6,61.3,,,,
54bdced5-5dbe-4d9a-8103-10ebeeac854a,ARG_20221209_Netherland,5,1,4,31,Pass,,110.0,60.6,109.3,54.0,Incomplete,,,
21c43feb-1183-4e85-8a19-ff4e2bcdb789,ARG_20221209_Netherland,7,1,4,44,Pass,,45.6,52.2,45.1,28.3,,,,
3d19dafa-a418-4048-8534-01835dd76cbc,ARG_20221209_Netherland,6,1,4,48,Pass,,44.7,28.6,39.9,43.8,,,,
a7e3bc8e-9ae7-4beb-8cf4-06ce5fd501c1,ARG_20221209_Netherland,7,1,4,51,Pass,,44.6,52.7,63.2,73.0,,,,
b9b7e719-d352-4ce7-b0b4-ce10f5466201,ARG_20221209_Netherland,9,1,4,55,Pass,,61.8,73.5,73.1,53.7,Incomplete,,,
1eeb1500-446f-4ede-a1eb-1e88afaef513,ARG_20221209_Netherland,26,1,6,2,Pass,,50.5,10.7,39.3,6.9,,,,
c6ae165b-c94d-415b-80a9-e608621da7c9,ARG_20221209_Netherland,6,1,6,12,Pass,,15.1,14.5,22.3,66.8,,,,
1127aa88-b4af-40f2-9ef7-abaa9b7db515,ARG_20221209_Netherland,9,1,6,17,Pass,,26.1,73.5,45.6,67.8,,,,
958dd98b-0d1a-4404-a299-3009fad1624f,ARG_20221209_Netherland,14,1,6,20,Pass,,46.0,74.0,77.7,72.9,Incomplete,,,
115dc8b2-f3ab-4cfa-9af8-84a89c9103f0,ARG_20221209_Netherland,16,1,6,28,Pass,,68.6,54.0,85.8,54.4,Incomplete,,,
