player_id,season,club,league,matches_played,starts,goals,shots,shots_on_target,passes_completed,passes_attempted,progressive_passes,key_passes,progressive_carries,tackles,interceptions,blocks,yellow_cards,red_cards,minutes_played,assists,saves,clean_sheets,goals_against_gk,xg,xag,pass_pct,save_pct,psxg
1,2024-25,Aston Villa,ENG-Premier League,37,0,0,0,0,0,0,0,2,0,3.0,0.0,0,5,1,3206.0,0.0,100.0,8.0,45.0,0.0,0.2820240408182144,77.003205128205,,
2,2024-25,Olympique Marseille,FRA-Ligue 1,34,0,0,0,0,0,0,0,2,0,4.0,1.0,0,1,0,3060.0,0.0,92.0,5.0,47.0,0.0,0.0819277726113796,86.903648269411,,
3,2024-25,Atlético Madrid,ESP-La Liga,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,180.0,0.0,2.0,2.0,0.0,0.0,0.0,83.333333333333,,
4,2024-25,River Plate,ARG-Liga Profesional,22,21,3,11,5,0,0,0,23,0,38.0,23.0,1,4,0,1736.0,4.0,0.0,10.0,14.0,0.6468,0.66072066,80.73290589356091,,
5,2024-25,Atlético Madrid,ESP-La Liga,30,0,0,9,0,0,0,0,13,0,44.0,13.0,0,1,0,1565.0,3.0,0.0,5.0,11.0,0.9986370727419852,1.934156723320484,82.523267838676,,
6,2024-25,Manchester United,ENG-Premier League,20,0,2,17,0,0,0,0,9,0,40.0,32.0,0,7,0,1762.0,1.0,0.0,5.0,27.0,1.686713680624962,1.357606129720807,90.030441400304,,
7,2024-25,Benfica,POR-Primeira Liga,31,30,6,28,12,0,0,0,10,0,53.0,60.0,0,4,0,2709.0,2.0,0.0,13.0,25.0,3.8238,1.96801614,89.523336643496,,
8,2024-25,Olympique Marseille,FRA-Ligue 1,27,0,0,15,0,0,0,0,8,0,54.0,38.0,0,7,1,2278.0,0.0,0.0,4.0,32.0,1.4392217164859176,0.4985409192740917,93.98406374502,,
9,2024-25,Tottenham Hotspur,ENG-Premier League,18,0,1,16,0,0,0,0,7,0,35.0,21.0,0,3,0,1426.0,0.0,0.0,2.0,22.0,1.905144028365612,0.6253029182553291,89.677952105698,,
10,2024-25,Olympique Marseille,FRA-Ligue 1,29,0,0,28,0,0,0,0,23,0,44.0,32.0,0,13,1,2558.0,1.0,0.0,9.0,30.0,1.997521806508303,2.1699847169220448,88.654060066741,,
11,2024-25,Olympique Lyonnais,FRA-Ligue 1,24,0,3,28,0,0,0,0,5,0,57.0,36.0,0,7,0,1918.0,1.0,0.0,5.0,29.0,2.963885312899947,0.6734582297503948,88.240343347639,,
12,2024-25,Strasbourg,FRA-Ligue 1,14,0,0,9,0,0,0,0,8,0,36.0,13.0,0,2,0,1181.0,2.0,0.0,2.0,9.0,0.4179076869040727,0.9902437552809716,85.365853658537,,
13,2024-25,Boca Juniors,ARG-Liga Profesional,17,16,1,27,7,0,0,0,47,0,37.0,17.0,4,8,0,1451.0,4.0,0.0,5.0,11.0,1.608,4.1971031,85.920852359209,,
14,2024-25,Inter Miami,USA-Major League Soccer,17,15,1,15,2,0,0,0,22,0,15.0,8.0,2,5,0,1428.0,4.0,0.0,3.0,24.0,1.7335,2.4995194,88.536812674744,,
15,2024-25,Bayer Leverkusen,GER-Bundesliga,24,0,1,13,0,0,0,0,28,0,22.0,13.0,0,2,0,1134.0,6.0,0.0,2.0,17.0,1.3166885189712048,2.3877435363829136,90.207715133531,,
16,2024-25,Chelsea,ENG-Premier League,36,0,6,53,0,0,0,0,77,0,65.0,13.0,0,8,0,2941.0,7.0,0.0,7.0,37.0,6.133216487243772,7.737509123980999,83.745781777278,,
17,2024-25,Liverpool,ENG-Premier League,35,0,5,38,0,0,0,0,45,0,95.0,22.0,0,6,0,2621.0,5.0,0.0,9.0,24.0,3.568436846137047,4.891626043245196,87.219101123596,,
18,2024-25,Real Betis,ESP-La Liga,25,0,8,34,0,0,0,0,43,0,34.0,5.0,0,4,0,1437.0,3.0,0.0,1.0,20.0,4.725559396669269,4.672125656157732,84.820393974508,,
19,2024-25,Como,ITA-Serie A,35,0,6,110,0,0,0,0,54,0,51.0,21.0,0,6,0,2704.0,8.0,0.0,3.0,38.0,9.964229883626103,5.478746464475989,83.418367346939,,
20,2024-25,Inter Miami,USA-Major League Soccer,34,32,35,176,80,0,0,0,103,0,24.0,5.0,0,4,0,2960.0,23.0,0.0,6.0,50.0,25.443,16.9776723,81.865284974093,,
21,2024-25,Atlético Madrid,ESP-La Liga,16,0,1,23,0,0,0,0,22,0,0.0,0.0,0,3,0,934.0,4.0,,,,1.9897623993456364,2.407982617616653,,,
22,2024-25,Atlético Madrid,ESP-La Liga,26,0,3,45,0,0,0,0,19,0,0.0,0.0,0,3,0,1789.0,2.0,,,,4.388662149198353,1.3247456587851048,,,
23,2024-25,Atlético Madrid,ESP-La Liga,33,0,2,22,0,0,0,0,24,0,27.0,14.0,0,4,0,1988.0,6.0,0.0,1.0,18.0,3.001487374305725,7.1847349517047405,78.800557880056,,
24,2024-25,Internazionale,ITA-Serie A,31,0,12,102,0,0,0,0,37,0,30.0,10.0,0,1,0,2605.0,3.0,0.0,4.0,27.0,14.972904972732069,5.210264602676034,76.595744680851,,
25,2024-25,Palmeiras,BRA-Série A,33,22,12,89,37,0,0,0,30,0,29.0,6.0,3,5,0,1997.0,2.0,0.0,5.0,23.0,12.4457,2.57454674,58.02752293578,,
26,2024-25,Atlético Madrid,ESP-La Liga,37,0,17,72,0,0,0,0,41,0,25.0,2.0,0,5,0,2543.0,4.0,0.0,4.0,17.0,14.1592972795479,6.458727004006505,78.5151856018,,
